# ndot= 14
# nrun= 3
# seed= 314159265
# spike radius/height (nm)= 5.25 13.7
# rcut (nm)= 16.6
# virionR (nm)= 55
# Each data: pair_idx nn_dist(nm)
# irun 0
  0 10.2740  0 1
  1 16.9997  2 1
  2 3.2360  3 6
  3 33.0139  4 12
  4 27.1201  5 1
  5 4.6577  7 8
  6 36.7517  9 10
  7 2.0084  11 12
  8 38.1559  13 5
# irun 1
  0 39.0055  0 6
  1 20.7270  1 13
  2 39.7172  2 13
  3 17.7308  3 11
  4 2.2535  4 12
  5 2.3672  5 6
  6 5.3648  7 10
  7 34.3899  8 7
  8 13.5546  9 4
# irun 2
  0 24.5729  0 1
  1 6.7188  1 9
  2 39.0379  2 11
  3 31.0387  3 13
  4 32.4993  4 3
  5 30.1816  5 6
  6 21.5347  7 13
  7 19.8816  8 11
  8 44.7496  10 12
  9 13.9168  12 1
