# ndot= 73
# nrun= 1
# seed= 589793238
# spike radius/height (nm)= 5.25 13.7
# rcut (nm)= 9.9
# virionR (nm)= 55
# Each data: pair_idx nn_dist(nm)
# irun 0
  0 10.6782  0 51
  1 0.4264  1 19
  2 2.1792  2 45
  3 0.1924  3 6
  4 1.6527  4 43
  5 6.4521  5 32
  6 7.7191  7 53
  7 2.8261  8 62
  8 2.3385  9 59
  9 0.5624  10 37
 10 8.5415  11 57
 11 4.8991  12 43
 12 2.0762  13 42
 13 0.3145  14 61
 14 2.2904  15 56
 15 7.0614  16 33
 16 3.9042  17 61
 17 2.3105  18 4
 18 3.2397  20 59
 19 4.0998  21 32
 20 7.0612  22 30
 21 5.7708  23 70
 22 7.2972  24 23
 23 19.9443  25 30
 24 1.0022  26 56
 25 6.4577  27 59
 26 10.4418  28 29
 27 3.7021  31 39
 28 4.9483  33 69
 29 6.0491  34 12
 30 3.6707  35 54
 31 4.3899  36 37
 32 2.9664  38 41
 33 2.2759  39 48
 34 9.1218  40 42
 35 0.7454  41 52
 36 4.1275  44 62
 37 1.3504  46 66
 38 7.8248  47 49
 39 7.6303  49 33
 40 2.7476  50 58
 41 6.6497  51 69
 42 0.7796  53 70
 43 2.7085  55 48
 44 1.7990  58 64
 45 0.4902  60 62
 46 7.6681  63 16
 47 0.0995  65 71
 48 5.4117  67 41
 49 9.8931  68 36
 50 11.0040  72 28
